Token: |index| Type: |1| Line: |2|
Token: |access_log| Type: |1| Line: |3|
Token: |server| Type: |1| Line: |6|
Token: |listen| Type: |1| Line: |7|
Token: |server_name| Type: |1| Line: |8|
Token: |access_log| Type: |1| Line: |9|
Token: |root| Type: |1| Line: |10|
Token: |location| Type: |1| Line: |12|
Token: |fastcgi_pass| Type: |1| Line: |13|
Token: |server| Type: |1| Line: |18|
Token: |listen| Type: |1| Line: |19|
Token: |server_name| Type: |1| Line: |20|
Token: |access_log| Type: |1| Line: |21|
Token: |location| Type: |1| Line: |24|
Token: |root| Type: |1| Line: |25|
Token: |expires| Type: |1| Line: |26|
Token: |location| Type: |1| Line: |30|
Token: |proxy_pass| Type: |1| Line: |31|
Token: |server| Type: |1| Line: |36|
Token: |listen| Type: |1| Line: |37|
Token: |server_name| Type: |1| Line: |38|
Token: |access_log| Type: |1| Line: |39|
Token: |location| Type: |1| Line: |41|
Token: |proxy_pass| Type: |1| Line: |42|
